Indicator Code,Indicator Definition
VI001,"The percentage of babies who reached 8 months old in the preceding 12 months, who have received at least 3 doses of a diphtheria, tetanus and pertussis containing vaccine before the age of 8 months."
VI002,"The percentage of children who reached 18 months old in the preceding 12 months, who have received at least 1 dose of MMR between the ages of 12 and 18 months."
VI003,"The percentage of children who reached 5 years old in the preceding 12 months, who have received a reinforcing dose of DTaP/IPV and at least 2 doses of MMR between the ages of 1 and 5 years."
VI004,"The percentage of patients who reached 80 years old in the preceding 12 months, who have received a shingles vaccine between the ages of 70 and 79 years."
CAN003,"The percentage of patients with cancer, diagnosed within the preceding 15 months, who have a patient review recorded as occurring within 6 months of the date of diagnosis, NICE 2012 menu ID: NM62"
CHD007,The percentage of patients with coronary heart disease who have had influenza immunisation in the preceding 1 August to 31 March
COPD007,The percentage of patients with COPD who have had influenza immunisation in the preceding 1 August to 31 March
DM018,"The percentage of patients with diabetes, on the register, who have had influenza immunisation in the preceding 1 August to 31 March"
STIA009,The percentage of patients with stroke or TIA who have had influenza immunisation in the preceding 1 August to 31 March
AST001,"The contractor establishes and maintains a register of patients with asthma, excluding patients with asthma who have been prescribed no asthma-related drugs in the preceding 12 months"
AST002,"The percentage of patients aged 8 or over with asthma (diagnosed on or after 1 April 2006), on the register, with measures of variability or reversibility recorded between 3 months before or anytime after diagnosis"
AST003,"The percentage of patients with asthma, on the register, who have had an asthma review in the preceding 12 months that includes an assessment of asthma control using the 3 RCP questions, NICE 2011 menu ID: NM23"
AST004,"The percentage of patients with asthma aged 14 or over and who have not attained the age of 20, on the register, in whom there is a record of smoking status in the preceding 12 months"
COPD001,The contractor establishes and maintains a register of patients with COPD
COPD002,The percentage of patients with COPD (diagnosed on or after 1 April 2011) in whom the diagnosis has been confirmed by post bronchodilator spirometry between 3 months before and 12 months after entering on to the register
COPD003,"The percentage of patients with COPD who have had a review, undertaken by a healthcare professional, including an assessment of breathlessness using the Medical Research Council dyspnoea scale in the preceding 12 months"
CVDPP001,"In those patients with a new diagnosis of hypertension aged 30 or over and who have not attained the age of 75, recorded between the preceding 1 April to 31 March (excluding those with pre-existing CHD, diabetes, stroke and/or TIA), who have a recorded CVD risk assessment score (using an assessment tool agreed with the NHS CB) of =20% in the preceding 12 months: the percentage who are currently treated with statins, NICE 2011 menu ID: NM26"
HF002,The percentage of patients with a diagnosis of heart failure (diagnosed on or after 1 April 2006) which has been confirmed by an echocardiogram or by specialist assessment 3 months before or 12 months after entering on to the register
HF004,"In those patients with a current diagnosis of heart failure due to left ventricular systolic dysfunction who are currently treated with an ACE-I or ARB, the percentage of patients who are additionally currently treated with a beta-blocker licensed for heart failure"
QI001,The contractor can demonstrate continuous quality improvement activity focused upon prescribing safety as specified in the QOF guidance.
QI002,The contractor has participated in network activity to regularly share and discuss learning from quality improvement activity as specified in the QOF guidance. This would usually include participating in a minimum of two peer review meetings.
QI003,The contractor can demonstrate continuous quality improvement activity focused on end of life care as specified in the QOF guidance
QI004,The contractor has participated in network activity to regularly share and discuss learning from quality improvement activity as specified in the QOF guidance. This would usually include participating in a minimum of two network peer review meetings.
CHD002,The percentage of patients with coronary heart disease in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less
CON001,"The contractor establishes and maintains a register of women aged 54 or under who have been prescribed any method of contraception at least once in the last year, or other clinically appropriate interval e.g. last 5 years for an IUS"
CON003,"The percentage of women, on the register, prescribed emergency hormonal contraception one or more times in the preceding 12 months by the contractor who have received information from the contractor about long acting reversible methods of contraception at the time of or within 1 month of the prescription"
COPD004,The percentage of patients with COPD with a record of FEV1 in the preceding 12 months
COPD005,"The percentage of patients with COPD and Medical Research Council dyspnoea grade ≥3 at any time in the preceding 12 months, with a record of oxygen saturation value within the preceding 12 months, NICE 2012 menu ID: NM63"
CS001,"The contractor has a protocol that is in line with national guidance agreed with the NHS CB for the management of cervical screening, which includes staff training, management of patient call/recall, exception reporting and the regular monitoring of inadequate sample rates"
CS002,The percentage of women aged 25 or over and who have not attained the age of 65 whose notes record that a cervical screening test has been performed in the preceding 5 years
CS004,The contractor has a policy for auditing its cervical screening service and performs an audit of inadequate cervical screening tests in relation to individual sample-takers at least every 2 years
DEM005,"The percentage of patients with a new diagnosis of dementia recorded in the preceding 1 April to 31 March with a record of FBC, calcium, glucose, renal and liver function, thyroid function tests, serum vitamin B12 and folate levels recorded between 12 months before or 6 months after entering on to the register, NICE 2010 menu ID: NM09"
DM002,"The percentage of patients with diabetes, on the register, in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less, NICE 2010 menu ID: NM01"
DM003,"The percentage of patients with diabetes, on the register, in whom the last blood pressure reading (measured in the preceding 12 months) is 140/80 mmHg or less, NICE 2010 menu ID: NM02"
DM004,"The percentage of patients with diabetes, on the register, whose last measured total cholesterol (measured within the preceding 12 months) is 5 mmol/l or less"
DM007,"The percentage of patients with diabetes, on the register, in whom the last IFCC-HbA1c is 59 mmol/mol or less in the preceding 12 months, NICE 2010 menu ID: NM14"
DM008,"The percentage of patients with diabetes, on the register, in whom the last IFCC-HbA1c is 64 mmol/mol or less in the preceding 12 months"
DM009,"The percentage of patients with diabetes, on the register, in whom the last IFCC-HbA1c is 75 mmol/mol or less in the preceding 12 months"
HYP006,The percentage of patients with hypertension in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less
MH008,"The percentage of women aged 25 or over and who have not attained the age of 65 with schizophrenia, bipolar affective disorder and other psychoses whose notes record that a cervical screening test has been performed in the preceding 5 years, NICE 2010 menu ID: NM20"
MH009,"The percentage of patients on lithium therapy with a record of serum creatinine and TSH in the preceding 9 months, NICE 2010 menu ID: NM21"
MH010,"The percentage of patients on lithium therapy with a record of lithium levels in the therapeutic range in the preceding 4 months, NICE 2010 menu ID: NM22"
OST002,"The percentage of patients aged 50 or over and who have not attained the age of 75, with a fragility fracture on or after 1 April 2012, in whom osteoporosis is confirmed on DXA scan, who are currently treated with an appropriate bone-sparing agent, NICE 2011 menu ID: NM30"
OST005,"The percentage of patients aged 75 or over with a record of a fragility fracture on or after 1 April 2014 and a diagnosis of osteoporosis, who are currently treated with an appropriate bone-sparing agent, NICE 2011 menu ID: NM31"
PAD002,"The percentage of patients with peripheral arterial disease in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less, NICE 2011 menu ID: NM34"
PAD004,"The percentage of patients with peripheral arterial disease with a record in the preceding 12 months that aspirin or an alternative anti-platelet is being taken, NICE 2011 menu ID: NM33"
PC002,The contractor has regular (at least 3 monthly) multi-disciplinary case review meetings where all patients on the palliative care register are discussed
SMOK003,The contractor supports patients who smoke in stopping smoking by a strategy which includes providing literature and offering appropriate therapy
STIA003,The percentage of patients with a history of stroke or TIA in whom the last blood pressure reading (measured in the preceding 12 months) is 150/90 mmHg or less
STIA008,The percentage of patients with a stroke or TIA (diagnosed on or after 1 April 2014) who have a record of a referral for further investigation between 3 months before or 1 month after the date of the latest recorded stroke or the first TIA
LD003,The contractor establishes and maintains a register of patients with learning disabilities
